SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-2.000000e+01,5.055395e+00,5.055395e+00,1.731886e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.857143e+01,5.415229e+00,5.415228e+00,1.628916e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.714286e+01,5.748531e+00,5.748531e+00,1.499351e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.571429e+01,6.050117e+00,6.050117e+00,1.347044e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.428571e+01,6.316082e+00,6.316082e+00,1.178692e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.285714e+01,6.544349e+00,6.544349e+00,1.003357e-07,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.142857e+01,6.734965e+00,6.734965e+00,8.310141e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.000000e+01,6.890003e+00,6.890003e+00,6.706562e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-8.571429e+00,7.013098e+00,7.013098e+00,5.287444e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-7.142857e+00,7.108793e+00,7.108793e+00,4.085556e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-5.714286e+00,7.181880e+00,7.181880e+00,3.104668e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-4.285714e+00,7.236905e+00,7.236905e+00,2.327942e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-2.857143e+00,7.277864e+00,7.277864e+00,1.727404e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
-1.428571e+00,7.308088e+00,7.308088e+00,1.271586e-08,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
0.000000e+00,7.330244e+00,7.330244e+00,9.304322e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.428571e+00,7.346405e+00,7.346405e+00,6.777662e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.857143e+00,7.358150e+00,7.358150e+00,4.920866e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
4.285714e+00,7.366664e+00,7.366664e+00,3.564129e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
5.714286e+00,7.372822e+00,7.372822e+00,2.576913e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
7.142857e+00,7.377271e+00,7.377271e+00,1.860760e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
8.571429e+00,7.380481e+00,7.380481e+00,1.342387e-09,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.000000e+01,7.382796e+00,7.382796e+00,9.677752e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.142857e+01,7.384464e+00,7.384464e+00,6.973648e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.285714e+01,7.385666e+00,7.385666e+00,5.023360e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.428571e+01,7.386532e+00,7.386532e+00,3.617577e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.571429e+01,7.387155e+00,7.387155e+00,2.604743e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.714286e+01,7.387604e+00,7.387604e+00,1.875229e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
1.857143e+01,7.387927e+00,7.387927e+00,1.349898e-10,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.000000e+01,7.388159e+00,7.388159e+00,9.716672e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.142857e+01,7.388327e+00,7.388327e+00,6.993872e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.285714e+01,7.388447e+00,7.388447e+00,5.033929e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.428571e+01,7.388534e+00,7.388534e+00,3.623057e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.571429e+01,7.388596e+00,7.388596e+00,2.607514e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
2.714286e+01,7.388641e+00,7.388641e+00,1.876632e-11,7.388756e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-04,9.998332e-01,2.000000e+09,1.400000e+11
