alpha,C_J_bps_hz,R_net_bps_hz,C_sat,SNR_crit_db,RMSE_m,RMSE_fD_hz,BCRLB_tau_s2,BCRLB_fD_hz2,G_sig_ideal,G_sig_avg,eta_bsq_avg,rho_Q,rho_APE,rho_A,rho_PN,Gamma_eff_total,sigma_2_phi_c_res_rad2,sigma_2_DSE_var,sigma_2_theta_pe_rad2,Jensen_gap_bits,Gamma_pa,Gamma_adc,Gamma_iq,Gamma_lo,noise_white,noise_gamma,noise_rsm,noise_pn,noise_dse
5.000000e-02,7.312329e+00,6.946713e+00,7.350159e+00,4.271013e+00,5.761094e-06,6.614355e+01,3.692908e-28,4.374969e+03,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,1.655190e-03,1.655190e-03,,6.670079e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,8.275950e-14,8.275950e-14
6.315789e-02,7.312824e+00,6.850961e+00,7.350653e+00,4.271013e+00,3.936950e-06,4.538560e+01,1.724560e-28,2.059853e+03,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,1.310359e-03,5.147065e-04,,6.670094e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,6.551794e-14,2.573532e-14
7.631579e-02,7.313148e+00,6.755039e+00,7.350977e+00,4.271013e+00,3.186821e-06,3.681709e+01,1.129988e-28,1.355498e+03,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,1.084435e-03,1.998140e-04,,6.670104e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,5.422174e-14,9.990699e-15
8.947368e-02,7.313376e+00,6.659022e+00,7.351206e+00,4.271013e+00,2.830501e-06,3.272578e+01,8.914260e-29,1.070977e+03,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,9.249591e-04,9.020306e-05,,6.670110e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,4.624796e-14,4.510153e-15
1.026316e-01,7.313546e+00,6.562945e+00,7.351376e+00,4.271013e+00,2.635927e-06,3.047775e+01,7.730816e-29,9.288931e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,8.063746e-04,4.542478e-05,,6.670116e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,4.031873e-14,2.271239e-15
1.157895e-01,7.313678e+00,6.466831e+00,7.351507e+00,4.271013e+00,2.515734e-06,2.908008e+01,7.041873e-29,8.456513e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,7.147411e-04,2.485149e-05,,6.670120e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,3.573706e-14,1.242575e-15
1.289474e-01,7.313782e+00,6.370689e+00,7.351612e+00,4.271013e+00,2.433774e-06,2.812120e+01,6.590510e-29,7.908021e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,6.418084e-04,1.450893e-05,,6.670123e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,3.209042e-14,7.254466e-16
1.421053e-01,7.313867e+00,6.274528e+00,7.351697e+00,4.271013e+00,2.373565e-06,2.741304e+01,6.268459e-29,7.514750e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,5.823817e-04,8.925798e-06,,6.670125e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,2.911908e-14,4.462899e-16
1.552632e-01,7.313938e+00,6.178353e+00,7.351768e+00,4.271013e+00,2.326861e-06,2.686125e+01,6.024202e-29,7.215268e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,5.330273e-04,5.732655e-06,,6.670128e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,2.665136e-14,2.866327e-16
1.684211e-01,7.313998e+00,6.082167e+00,7.351827e+00,4.271013e+00,2.289171e-06,2.641426e+01,5.830626e-29,6.977133e+02,4.096000e+03,3.888175e+03,9.536577e-01,9.496412e-01,1.000000e+00,9.996002e-01,9.900498e-01,2.393749e+01,4.913845e-04,3.816946e-06,,6.670129e-02,1.658489e-01,2.034505e-05,1.000000e-02,1.114239e-02,4.003882e-21,1.196875e-14,0.000000e+00,2.456923e-14,1.908473e-16
