alpha,C_J_bps_hz,R_net_bps_hz,C_sat,SNR_crit_db,RMSE_m,RMSE_fD_hz,BCRLB_tau_s2,BCRLB_fD_hz2,G_sig_ideal,G_sig_avg,eta_bsq_avg,rho_Q,rho_APE,rho_A,rho_PN,Gamma_eff_total,Gamma_pa,Gamma_adc,Gamma_iq,Gamma_lo,sigma_2_phi_c_res_rad2,sigma_2_DSE_var,SNR0_db,B_hz,f_c_hz
5.000000e-02,7.388159e+00,7.018751e+00,7.388756e+00,-1.380381e+01,2.890796e+00,2.175601e+07,3.719233e-16,4.733238e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,3.200000e-03,2.000000e+01,2.000000e+09,1.400000e+11
6.785714e-02,7.388159e+00,6.886820e+00,7.388756e+00,-1.380381e+01,2.887185e+00,2.172883e+07,3.709947e-16,4.721419e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,6.950598e-04,2.000000e+01,2.000000e+09,1.400000e+11
8.571429e-02,7.388159e+00,6.754889e+00,7.388756e+00,-1.380381e+01,2.886494e+00,2.172363e+07,3.708171e-16,4.719160e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,2.161394e-04,2.000000e+01,2.000000e+09,1.400000e+11
1.035714e-01,7.388159e+00,6.622957e+00,7.388756e+00,-1.380381e+01,2.886303e+00,2.172219e+07,3.707681e-16,4.718536e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,8.390738e-05,2.000000e+01,2.000000e+09,1.400000e+11
1.214286e-01,7.388159e+00,6.491026e+00,7.388756e+00,-1.380381e+01,2.886236e+00,2.172169e+07,3.707510e-16,4.718319e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,3.787874e-05,2.000000e+01,2.000000e+09,1.400000e+11
1.392857e-01,7.388159e+00,6.359094e+00,7.388756e+00,-1.380381e+01,2.886209e+00,2.172149e+07,3.707441e-16,4.718230e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,1.907511e-05,2.000000e+01,2.000000e+09,1.400000e+11
1.571429e-01,7.388159e+00,6.227163e+00,7.388756e+00,-1.380381e+01,2.886197e+00,2.172139e+07,3.707408e-16,4.718189e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,1.043582e-05,2.000000e+01,2.000000e+09,1.400000e+11
1.750000e-01,7.388159e+00,6.095231e+00,7.388756e+00,-1.380381e+01,2.886190e+00,2.172135e+07,3.707392e-16,4.718169e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,6.092699e-06,2.000000e+01,2.000000e+09,1.400000e+11
1.928571e-01,7.388159e+00,5.963300e+00,7.388756e+00,-1.380381e+01,2.886187e+00,2.172132e+07,3.707384e-16,4.718158e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,3.748188e-06,2.000000e+01,2.000000e+09,1.400000e+11
2.107143e-01,7.388159e+00,5.831369e+00,7.388756e+00,-1.380381e+01,2.886185e+00,2.172131e+07,3.707379e-16,4.718151e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,2.407299e-06,2.000000e+01,2.000000e+09,1.400000e+11
2.285714e-01,7.388159e+00,5.699437e+00,7.388756e+00,-1.380381e+01,2.886184e+00,2.172130e+07,3.707376e-16,4.718148e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,1.602840e-06,2.000000e+01,2.000000e+09,1.400000e+11
2.464286e-01,7.388159e+00,5.567506e+00,7.388756e+00,-1.380381e+01,2.886183e+00,2.172129e+07,3.707374e-16,4.718145e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,1.100385e-06,2.000000e+01,2.000000e+09,1.400000e+11
2.642857e-01,7.388159e+00,5.435574e+00,7.388756e+00,-1.380381e+01,2.886183e+00,2.172129e+07,3.707373e-16,4.718144e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,7.755889e-07,2.000000e+01,2.000000e+09,1.400000e+11
2.821429e-01,7.388159e+00,5.303643e+00,7.388756e+00,-1.380381e+01,2.886182e+00,2.172129e+07,3.707372e-16,4.718143e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,5.593127e-07,2.000000e+01,2.000000e+09,1.400000e+11
3.000000e-01,7.388159e+00,5.171712e+00,7.388756e+00,-1.380381e+01,2.886182e+00,2.172128e+07,3.707371e-16,4.718142e+14,4.096000e+03,4.001129e+03,9.998332e-01,9.872148e-01,1.000000e+00,9.996002e-01,9.900498e-01,6.000653e-03,5.000000e-03,6.367955e-07,1.000000e-03,1.579137e-08,3.762826e-04,4.115226e-07,2.000000e+01,2.000000e+09,1.400000e+11
