SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-2.000000e+01,5.050656e+00,5.050656e+00,1.731699e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.857143e+01,5.410457e+00,5.410457e+00,1.628779e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.714286e+01,5.743736e+00,5.743736e+00,1.499252e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.571429e+01,6.045305e+00,6.045305e+00,1.346972e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.428571e+01,6.311257e+00,6.311257e+00,1.178640e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.285714e+01,6.539516e+00,6.539515e+00,1.003320e-07,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.142857e+01,6.730126e+00,6.730126e+00,8.309869e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.000000e+01,6.885159e+00,6.885159e+00,6.706366e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-8.571429e+00,7.008251e+00,7.008251e+00,5.287303e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-7.142857e+00,7.103943e+00,7.103943e+00,4.085454e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-5.714286e+00,7.177028e+00,7.177028e+00,3.104594e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-4.285714e+00,7.232051e+00,7.232051e+00,2.327889e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-2.857143e+00,7.273010e+00,7.273010e+00,1.727366e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
-1.428571e+00,7.303233e+00,7.303233e+00,1.271558e-08,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
0.000000e+00,7.325389e+00,7.325389e+00,9.304126e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.428571e+00,7.341549e+00,7.341549e+00,6.777520e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.857143e+00,7.353294e+00,7.353294e+00,4.920765e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.285714e+00,7.361807e+00,7.361807e+00,3.564056e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
5.714286e+00,7.367966e+00,7.367966e+00,2.576861e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
7.142857e+00,7.372414e+00,7.372414e+00,1.860720e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
8.571429e+00,7.375625e+00,7.375625e+00,1.342361e-09,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.000000e+01,7.377940e+00,7.377940e+00,9.677548e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.142857e+01,7.379608e+00,7.379608e+00,6.973497e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.285714e+01,7.380810e+00,7.380810e+00,5.023262e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.428571e+01,7.381675e+00,7.381675e+00,3.617497e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.571429e+01,7.382299e+00,7.382299e+00,2.604690e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.714286e+01,7.382747e+00,7.382747e+00,1.875193e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
1.857143e+01,7.383070e+00,7.383070e+00,1.349862e-10,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.000000e+01,7.383303e+00,7.383303e+00,9.716583e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.142857e+01,7.383470e+00,7.383470e+00,6.993695e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.285714e+01,7.383591e+00,7.383591e+00,5.033751e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.428571e+01,7.383677e+00,7.383677e+00,3.622969e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.571429e+01,7.383740e+00,7.383740e+00,2.607425e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.714286e+01,7.383785e+00,7.383785e+00,1.876721e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
2.857143e+01,7.383817e+00,7.383817e+00,1.350653e-11,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.000000e+01,7.383840e+00,7.383840e+00,9.720225e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.142857e+01,7.383857e+00,7.383857e+00,6.995293e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.285714e+01,7.383869e+00,7.383869e+00,5.035083e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.428571e+01,7.383878e+00,7.383878e+00,3.623768e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.571429e+01,7.383884e+00,7.383884e+00,2.608580e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.714286e+01,7.383888e+00,7.383888e+00,1.876721e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
3.857143e+01,7.383892e+00,7.383892e+00,1.350919e-12,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.000000e+01,7.383894e+00,7.383894e+00,9.725554e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.142857e+01,7.383896e+00,7.383896e+00,6.989964e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.285714e+01,7.383897e+00,7.383897e+00,5.027090e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.428571e+01,7.383898e+00,7.383898e+00,3.614886e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.571429e+01,7.383898e+00,7.383898e+00,2.611245e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.714286e+01,7.383899e+00,7.383899e+00,1.874056e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
4.857143e+01,7.383899e+00,7.383899e+00,1.358913e-13,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
5.000000e+01,7.383899e+00,7.383899e+00,9.592327e-14,7.383900e+00,-1.380381e+01,1.000000e-01,6.000653e-03,3.762826e-03,9.998332e-01,2.000000e+09,1.400000e+11
