SNR0_db,C_J_bps_hz,C_G_bps_hz,Jensen_gap_bits,C_sat,SNR_crit_db,alpha,Gamma_eff_total,sigma_2_phi_c_res_rad2,eta_bsq_avg,B_hz,f_c_hz
-6.551848e+01,1.548226e-03,1.550965e-03,-2.739524e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.491242e+01,1.779674e-03,1.782822e-03,-3.147646e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.430636e+01,2.045652e-03,2.049268e-03,-3.616201e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.370030e+01,2.351289e-03,2.355443e-03,-4.154020e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.309424e+01,2.702468e-03,2.707239e-03,-4.771185e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.248818e+01,3.105935e-03,3.111414e-03,-5.479199e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.188212e+01,3.569425e-03,3.575716e-03,-6.291164e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.127606e+01,4.101798e-03,4.109020e-03,-7.221986e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.067000e+01,4.713201e-03,4.721490e-03,-8.288594e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-6.006394e+01,5.415248e-03,5.424758e-03,-9.510180e-06,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.945788e+01,6.221219e-03,6.232128e-03,-1.090845e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.885182e+01,7.146293e-03,7.158801e-03,-1.250789e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.824576e+01,8.207796e-03,8.222132e-03,-1.433603e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.763969e+01,9.425492e-03,9.441916e-03,-1.642374e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.703363e+01,1.082189e-02,1.084070e-02,-1.880547e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.642757e+01,1.242260e-02,1.244412e-02,-2.151944e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.582151e+01,1.425671e-02,1.428132e-02,-2.460787e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.521545e+01,1.635717e-02,1.638528e-02,-2.811704e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.460939e+01,1.876126e-02,1.879336e-02,-3.209721e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.400333e+01,2.151107e-02,2.154767e-02,-3.660245e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.339727e+01,2.465390e-02,2.469559e-02,-4.169017e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
-5.279121e+01,2.824283e-02,2.829025e-02,-4.742028e-05,1.052971e+00,-3.551848e+01,1.000000e-01,9.243955e-01,6.482658e-03,9.536577e-01,2.000000e+10,1.400000e+11
