alpha,config,RMSE_mm,BCRLB_tau,method,N,ratio_to_AWGN
5.000000e-02,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
5.000000e-02,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
5.000000e-02,HW+PN,1.522628e-03,1.031826e-28,unknown,,1.233895e+01
5.000000e-02,HW+PN+DSE,7.010883e-03,2.187580e-27,unknown,,5.681422e+01
5.000000e-02,Full,7.010883e-03,2.187580e-27,unknown,,5.681422e+01
6.315789e-02,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
6.315789e-02,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
6.315789e-02,HW+PN,1.419703e-03,8.970434e-29,unknown,,1.150487e+01
6.315789e-02,HW+PN+DSE,4.071787e-03,7.378851e-28,unknown,,3.299662e+01
6.315789e-02,Full,4.071787e-03,7.378851e-28,unknown,,3.299662e+01
7.631579e-02,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
7.631579e-02,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
7.631579e-02,HW+PN,1.348014e-03,8.087369e-29,unknown,,1.092392e+01
7.631579e-02,HW+PN+DSE,2.733320e-03,3.325061e-28,unknown,,2.215006e+01
7.631579e-02,Full,2.733320e-03,3.325061e-28,unknown,,2.215006e+01
8.947368e-02,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
8.947368e-02,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
8.947368e-02,HW+PN,1.295022e-03,7.464024e-29,unknown,,1.049450e+01
8.947368e-02,HW+PN+DSE,2.056568e-03,1.882369e-28,unknown,,1.666585e+01
8.947368e-02,Full,2.056568e-03,1.882369e-28,unknown,,1.666585e+01
1.026316e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.026316e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.026316e-01,HW+PN,1.254167e-03,7.000507e-29,unknown,,1.016342e+01
1.026316e-01,HW+PN+DSE,1.690646e-03,1.272108e-28,unknown,,1.370052e+01
1.026316e-01,Full,1.690646e-03,1.272108e-28,unknown,,1.370052e+01
1.157895e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.157895e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.157895e-01,HW+PN,1.221662e-03,6.642332e-29,unknown,,9.900004e+00
1.157895e-01,HW+PN+DSE,1.481777e-03,9.772016e-29,unknown,,1.200790e+01
1.157895e-01,Full,1.481777e-03,9.772016e-29,unknown,,1.200790e+01
1.289474e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.289474e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.289474e-01,HW+PN,1.195158e-03,6.357252e-29,unknown,,9.685226e+00
1.289474e-01,HW+PN+DSE,1.356080e-03,8.184442e-29,unknown,,1.098929e+01
1.289474e-01,Full,1.356080e-03,8.184442e-29,unknown,,1.098929e+01
1.421053e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.421053e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.421053e-01,HW+PN,1.173120e-03,6.124963e-29,unknown,,9.506634e+00
1.421053e-01,HW+PN+DSE,1.276236e-03,7.249036e-29,unknown,,1.034225e+01
1.421053e-01,Full,1.276236e-03,7.249036e-29,unknown,,1.034225e+01
1.552632e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.552632e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.552632e-01,HW+PN,1.154497e-03,5.932043e-29,unknown,,9.355720e+00
1.552632e-01,HW+PN+DSE,1.222733e-03,6.653986e-29,unknown,,9.908684e+00
1.552632e-01,Full,1.222733e-03,6.653986e-29,unknown,,9.908684e+00
1.684211e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.684211e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.684211e-01,HW+PN,1.138547e-03,5.769266e-29,unknown,,9.226465e+00
1.684211e-01,HW+PN+DSE,1.185029e-03,6.249953e-29,unknown,,9.603144e+00
1.684211e-01,Full,1.185029e-03,6.249953e-29,unknown,,9.603144e+00
1.815789e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
1.815789e-01,HW,2.445899e-04,2.662536e-30,unknown,,1.982088e+00
1.815789e-01,HW+PN,1.124729e-03,5.630079e-29,unknown,,9.114489e+00
1.815789e-01,HW+PN+DSE,1.157222e-03,5.960080e-29,unknown,,9.377803e+00
1.815789e-01,Full,1.157222e-03,5.960080e-29,unknown,,9.377803e+00
1.947368e-01,AWGN,1.234001e-04,6.777193e-31,unknown,,1.000000e+00
