config,alpha,RMSE_mm,BCRLB_tau,BCRLB_fD,sigma2_pn,sigma2_dse,sigma2_gamma,N0,G_sig_avg,method
Full,0.05,0.24084472527878797,2.5816232525587833e-24,30090913.922631163,0.012965316035519142,0.012965316035519142,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.06315789473684211,0.13739556027108335,8.401638367741884e-25,9857073.513437835,0.010264208528119321,0.004031762151551162,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.07631578947368421,0.08908408405745001,3.5319847807758604e-25,4173894.6568812435,0.008494517402581508,0.0015651685856425167,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.08947368421052632,0.06357674225288514,1.7989335699498243e-25,2141384.590152208,0.007245323666907755,0.0007065721686724641,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.10263157894736842,0.048937066074531806,1.0658459578943343e-25,1277272.0789955969,0.006316436017304197,0.00035581813333951487,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.11578947368421053,0.03998553252330659,7.115810173887623e-26,857625.6690676546,0.0055986591971559935,0.00019466493527181973,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.12894736842105264,0.03421010264509142,5.208675958374191e-26,630664.8680532433,0.0050273674423441566,0.00011365033284821676,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.14210526315789473,0.030296025397646073,4.0849796545699324e-26,496365.785229429,0.004561870456941921,6.991692396464615e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.15526315789473683,0.027517901242957006,3.370149765952562e-26,410600.4647363872,0.004175271265675656,4.4904622930200534e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.16842105263157894,0.025459382158206995,2.884790675870743e-26,352163.84712969884,0.0038490781980447452,2.989862679525551e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.18157894736842106,0.02387341470580091,2.536574778979033e-26,310109.5358894136,0.003570159488041503,2.0526063042635927e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.19473684210526315,0.02260880347044098,2.2749598843299968e-26,278428.9376375083,0.0033289324956062663,1.4467467434758286e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.20789473684210524,0.021570201535953445,2.0707467631199903e-26,253642.2171526797,0.0031182405655046045,1.0433154907614334e-05,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.22105263157894733,0.02069568815770306,1.9062432949665954e-26,233636.12217552218,0.0029326310080340923,7.676348476803553e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.23421052631578948,0.019943882363424544,1.7702638188306546e-26,217071.73170464695,0.0027678764570209405,5.749116097963827e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.24736842105263157,0.01928635552657325,1.6554608787686526e-26,203067.78424903215,0.0026206489859028057,4.374333031347742e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.26052631578947366,0.018703056080825654,1.556839126108413e-26,191023.9792262489,0.002488292976513775,3.3757877985798825e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.27368421052631575,0.01817948491644158,1.4708952099352757e-26,180518.53764568057,0.0023686635064890742,2.6386659668427176e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.2868421052631579,0.01770491096895158,1.395102380868922e-26,171246.72333087932,0.0022600092172005847,2.08650112121252e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
Full,0.3,0.01727121846512077,1.3275917372255985e-26,162982.76520551433,0.0021608860059198574,1.667350313209767e-06,0.9243954591760479,4.0038821e-21,3854.6987405842056,unknown
