config,alpha,RMSE_mm,BCRLB_tau,BCRLB_fD,sigma2_pn,sigma2_dse,sigma2_gamma,N0,G_sig_avg,method
HW+PN,0.05,0.04178733425100937,7.77155490223624e-26,954780.172284213,0.012965316035519142,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.06315789473684211,0.037180648500263556,6.152512522233637e-26,755871.397599213,0.010264208528119321,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.07631578947368421,0.03382397901045991,5.0917606180939637e-26,625551.8555639416,0.008494517402581508,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.08947368421052632,0.031238153191719794,4.342994568112985e-26,533561.5905976363,0.007245323666907755,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.10263157894736842,0.029167124750173377,3.7862198129988984e-26,465158.5730583871,0.006316436017304197,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.11578947368421053,0.027460010452719112,3.35598477495617e-26,412301.69586878864,0.0055986591971559935,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.12894736842105264,0.026021367136936945,3.0135528059017307e-26,370231.93647282507,0.0050273674423441566,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.14210526315789473,0.02478748041719926,2.734534164449948e-26,335952.87326115364,0.004561870456941921,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.15526315789473683,0.02371397578011032,2.5028068181594646e-26,307483.82076319156,0.004175271265675656,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.16842105263157894,0.022768871420200374,2.3072868697268522e-26,283463.05771791295,0.0038490781980447452,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.18157894736842106,0.021928456313846493,2.1401031457047475e-26,262923.56467908254,0.003570159488041503,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.19473684210526315,0.02117472892151259,1.9955118168207514e-26,245159.67880755538,0.0033289324956062663,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.20789473684210524,0.020493743071033455,1.869223187795476e-26,229644.38608422325,0.0031182405655046045,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.22105263157894733,0.01987450420979569,1.7579689193684338e-26,215976.15201833696,0.0029326310080340923,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.23421052631578948,0.019308211926608074,1.6592151305399233e-26,203843.67458897876,0.0027678764570209405,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.24736842105263157,0.018787727272940345,1.5709670639272014e-26,193001.88624776647,0.0026206489859028057,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.26052631578947366,0.01830719006762381,1.4916329434369652e-26,183255.22804195073,0.002488292976513775,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.27368421052631575,0.01786173870271205,1.419927103763088e-26,174445.74850969546,0.0023686635064890742,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.2868421052631579,0.017447301508872887,1.3547997814904737e-26,166444.4781087676,0.0022600092172005847,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN,0.3,0.01706043903841567,1.2953853822242198e-26,159145.07353241357,0.0021608860059198574,0.0,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
