config,alpha,RMSE_mm,BCRLB_tau,BCRLB_fD,sigma2_pn,sigma2_dse,sigma2_gamma,N0,G_sig_avg,method
HW+PN+DSE,0.05,0.24084472506443538,2.581623247963477e-24,30090913.869069114,0.012965316035519142,0.012965316035519142,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.06315789473684211,0.13739556014880086,8.40163835278691e-25,9857073.495892176,0.010264208528119321,0.004031762151551162,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.07631578947368421,0.08908408397816488,3.5319847744889042e-25,4173894.649451681,0.008494517402581508,0.0015651685856425167,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.08947368421052632,0.06357674219630162,1.7989335667477107e-25,2141384.586340528,0.007245323666907755,0.0007065721686724641,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.10263157894736842,0.04893706603097766,1.0658459559971213e-25,1277272.0767220438,0.006316436017304197,0.00035581813333951487,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.11578947368421053,0.03998553248771933,7.115810161221432e-26,857625.6675410749,0.0055986591971559935,0.00019466493527181973,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.12894736842105264,0.0342101026146443,5.208675949102713e-26,630664.8669306552,0.0050273674423441566,0.00011365033284821676,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.14210526315789473,0.030296025370682506,4.084979647298641e-26,496365.78434589435,0.004561870456941921,6.991692396464615e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.15526315789473683,0.027517901218465975,3.3701497599536716e-26,410600.4640055155,0.004175271265675656,4.4904622930200534e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.16842105263157894,0.02545938213554806,2.884790670735796e-26,352163.84650284465,0.0038490781980447452,2.989862679525551e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.18157894736842106,0.023873414684553493,2.536574774463913e-26,310109.5353374165,0.003570159488041503,2.0526063042635927e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.19473684210526315,0.022608803450319067,2.2749598802805525e-26,278428.93714190286,0.0033289324956062663,1.4467467434758286e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.20789473684210524,0.021570201516755896,2.0707467594340475e-26,253642.21670119473,0.0031182405655046045,1.0433154907614334e-05,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.22105263157894733,0.020695688139283828,1.90624329157347e-26,233636.12175964823,0.0029326310080340923,7.676348476803553e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.23421052631578948,0.019943882345674426,1.7702638156795732e-26,217071.73131825772,0.0027678764570209405,5.749116097963827e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.24736842105263157,0.019286355509408323,1.6554608758219213e-26,203067.78388757003,0.0026206489859028057,4.374333031347742e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.26052631578947366,0.01870305606417987,1.556839123337229e-26,191023.9788862248,0.002488292976513775,3.3757877985798825e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.27368421052631575,0.018179484900261778,1.4708952073170727e-26,180518.53732435632,0.0023686635064890742,2.6386659668427176e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.2868421052631579,0.01770491095319415,1.3951023783856303e-26,171246.72302605896,0.0022600092172005847,2.08650112121252e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
HW+PN+DSE,0.3,0.01727121844974933,1.327591734862476e-26,162982.76491540385,0.0021608860059198574,1.667350313209767e-06,0.9243954591760479,4.0038821e-21,3854.698747445595,unknown
