config,alpha,RMSE_mm,BCRLB_tau,N0,S_PN,S_DSE,sigma2_gamma_psd,S_total,E_sig_target,E_sig_actual,A_scale
AWGN,0.05,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.06315789473684211,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.07631578947368421,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.08947368421052632,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.10263157894736842,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.11578947368421053,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.12894736842105264,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.14210526315789473,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.15526315789473683,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.16842105263157894,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.18157894736842106,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.19473684210526315,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.20789473684210524,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.22105263157894733,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.23421052631578948,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.24736842105263157,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.26052631578947366,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.27368421052631575,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.2868421052631579,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
AWGN,0.3,1402.7327193258875,8.757263950936693e-17,4.0038821e-21,0.0,0.0,5.836869371877822e-12,5.836869375881704e-12,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.05,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.06315789473684211,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.07631578947368421,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.08947368421052632,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.10263157894736842,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.11578947368421053,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.12894736842105264,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.14210526315789473,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.15526315789473683,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.16842105263157894,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.18157894736842106,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.19473684210526315,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.20789473684210524,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.22105263157894733,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.23421052631578948,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.24736842105263157,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.26052631578947366,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.27368421052631575,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.2868421052631579,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW,0.3,3947.2882696220217,6.93451789858703e-16,4.0038821e-21,0.0,0.0,4.6219772958802394e-11,4.621977296280628e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.05,3974.873669010405,7.031779536134985e-16,4.0038821e-21,6.482658017759571e-13,0.0,4.6219772958802394e-11,4.6868038764582234e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.06315789473684211,3969.1425208765736,7.011516694979161e-16,4.0038821e-21,5.13210426405966e-13,0.0,4.6219772958802394e-11,4.6732983389212246e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.07631578947368421,3965.3831394752738,6.998241040428792e-16,4.0038821e-21,4.2472587012907536e-13,0.0,4.6219772958802394e-11,4.664449883293535e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
HW+PN,0.08947368421052632,3962.7273112001994,6.988869990157945e-16,4.0038821e-21,3.622661833453878e-13,0.0,4.6219772958802394e-11,4.6582039146151663e-11,2.623984173056e-14,4096.0,2.5310494582287403e-09
