B_over_fc,Lap_over_lambda,crlb_whittle,crlb_cholesky,relative_error
2.000000e-02,3.000000e+00,4.094679e-11,4.097954e-11,8.000000e-04
2.000000e-02,4.333333e+00,4.094852e-11,4.098128e-11,8.000000e-04
2.000000e-02,5.666667e+00,4.095089e-11,4.098365e-11,8.000000e-04
2.000000e-02,7.000000e+00,4.095388e-11,4.098664e-11,8.000000e-04
2.000000e-02,8.333333e+00,4.095751e-11,4.099028e-11,8.000000e-04
2.000000e-02,9.666667e+00,4.096177e-11,4.099454e-11,8.000000e-04
2.000000e-02,1.100000e+01,4.096666e-11,4.099943e-11,8.000000e-04
2.000000e-02,1.233333e+01,4.097218e-11,4.100496e-11,8.000000e-04
2.000000e-02,1.366667e+01,4.097834e-11,4.101112e-11,8.000000e-04
2.000000e-02,1.500000e+01,4.098513e-11,4.101791e-11,8.000000e-04
3.444444e-02,3.000000e+00,2.377406e-11,2.383047e-11,2.372840e-03
3.444444e-02,4.333333e+00,2.377704e-11,2.383346e-11,2.372840e-03
3.444444e-02,5.666667e+00,2.378112e-11,2.383755e-11,2.372840e-03
3.444444e-02,7.000000e+00,2.378628e-11,2.384272e-11,2.372840e-03
3.444444e-02,8.333333e+00,2.379253e-11,2.384899e-11,2.372840e-03
3.444444e-02,9.666667e+00,2.379987e-11,2.385635e-11,2.372840e-03
3.444444e-02,1.100000e+01,2.380831e-11,2.386480e-11,2.372840e-03
3.444444e-02,1.233333e+01,2.381783e-11,2.387435e-11,2.372840e-03
3.444444e-02,1.366667e+01,2.382845e-11,2.388499e-11,2.372840e-03
3.444444e-02,1.500000e+01,2.384017e-11,2.389673e-11,2.372840e-03
4.888889e-02,3.000000e+00,1.675091e-11,1.683099e-11,4.780247e-03
4.888889e-02,4.333333e+00,1.675515e-11,1.683525e-11,4.780247e-03
4.888889e-02,5.666667e+00,1.676094e-11,1.684106e-11,4.780247e-03
4.888889e-02,7.000000e+00,1.676827e-11,1.684843e-11,4.780247e-03
4.888889e-02,8.333333e+00,1.677715e-11,1.685735e-11,4.780247e-03
4.888889e-02,9.666667e+00,1.678759e-11,1.686783e-11,4.780247e-03
4.888889e-02,1.100000e+01,1.679958e-11,1.687988e-11,4.780247e-03
4.888889e-02,1.233333e+01,1.681313e-11,1.689350e-11,4.780247e-03
4.888889e-02,1.366667e+01,1.682824e-11,1.690868e-11,4.780247e-03
4.888889e-02,1.500000e+01,1.684493e-11,1.692545e-11,4.780247e-03
6.333333e-02,3.000000e+00,1.293217e-11,1.303592e-11,8.022222e-03
6.333333e-02,4.333333e+00,1.293767e-11,1.304145e-11,8.022222e-03
6.333333e-02,5.666667e+00,1.294516e-11,1.304901e-11,8.022222e-03
6.333333e-02,7.000000e+00,1.295467e-11,1.305860e-11,8.022222e-03
6.333333e-02,8.333333e+00,1.296619e-11,1.307021e-11,8.022222e-03
6.333333e-02,9.666667e+00,1.297973e-11,1.308386e-11,8.022222e-03
6.333333e-02,1.100000e+01,1.299530e-11,1.309956e-11,8.022222e-03
